epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5223,1.10565,1.87636,1.21452,0.84552,0.81161,0.91109,0.67757,0.94829,0.8786,1.17107,0.000331481,0.000331481,0.000331481
2,115.266,1.03153,0.9878,1.16375,0.77425,0.78742,0.88251,0.64007,1.00584,0.97352,1.21447,0.000653845,0.000653845,0.000653845
3,165.91,1.02273,0.91894,1.16917,0.88926,0.89692,0.94266,0.72238,0.90108,0.68035,1.15487,0.000965209,0.000965209,0.000965209
4,218.442,1.01679,0.84303,1.16914,0.90637,0.9246,0.95037,0.72123,0.89932,0.64836,1.15259,0.0009505,0.0009505,0.0009505
5,268.656,0.96371,0.78017,1.13529,0.89206,0.93908,0.96354,0.73712,0.88957,0.58193,1.12754,0.000934,0.000934,0.000934
6,319.258,0.94181,0.72487,1.11985,0.95269,0.96174,0.98298,0.76732,0.85085,0.50449,1.09283,0.0009175,0.0009175,0.0009175
7,370.457,0.92135,0.68392,1.11275,0.95015,0.95616,0.9817,0.76837,0.84976,0.50412,1.09158,0.000901,0.000901,0.000901
8,421.296,0.91597,0.67271,1.09962,0.93471,0.95685,0.97315,0.7723,0.83446,0.48698,1.07728,0.0008845,0.0008845,0.0008845
9,473.481,0.89522,0.63502,1.08708,0.93261,0.95135,0.9703,0.76527,0.85555,0.48391,1.0884,0.000868,0.000868,0.000868
10,529.869,0.88918,0.61318,1.08645,0.9402,0.97683,0.9849,0.79053,0.81777,0.44603,1.06634,0.0008515,0.0008515,0.0008515
11,578.574,0.87377,0.59937,1.0711,0.94972,0.95709,0.98149,0.79457,0.81602,0.42672,1.05073,0.000835,0.000835,0.000835
12,625.76,0.85277,0.57698,1.05463,0.93334,0.96171,0.9819,0.78827,0.8232,0.45075,1.05052,0.0008185,0.0008185,0.0008185
13,672.785,0.84716,0.55542,1.04633,0.95764,0.96628,0.97932,0.7882,0.82637,0.42948,1.06545,0.000802,0.000802,0.000802
14,720.001,0.82996,0.5534,1.04556,0.95681,0.96175,0.9783,0.796,0.79517,0.42567,1.05476,0.0007855,0.0007855,0.0007855
15,767.175,0.82784,0.53981,1.04419,0.94314,0.97413,0.97878,0.80232,0.80595,0.40918,1.05224,0.000769,0.000769,0.000769
16,814.342,0.82834,0.53823,1.0424,0.96501,0.96581,0.98225,0.80799,0.78563,0.40418,1.03244,0.0007525,0.0007525,0.0007525
17,862.145,0.82094,0.52906,1.04149,0.9582,0.96727,0.98184,0.80349,0.79561,0.39575,1.04517,0.000736,0.000736,0.000736
18,909.232,0.80196,0.512,1.03288,0.96216,0.96833,0.98291,0.80425,0.79372,0.3903,1.04144,0.0007195,0.0007195,0.0007195
19,957.771,0.79286,0.50231,1.02867,0.97713,0.96101,0.97944,0.79659,0.81339,0.39373,1.05089,0.000703,0.000703,0.000703
20,1004.57,0.79593,0.49761,1.02589,0.94886,0.97539,0.98507,0.81356,0.7806,0.39236,1.0332,0.0006865,0.0006865,0.0006865
21,1051.88,0.78602,0.48795,1.0228,0.96197,0.95779,0.98106,0.79864,0.81723,0.40998,1.05506,0.00067,0.00067,0.00067
22,1098.7,0.76728,0.4751,1.00974,0.96431,0.97591,0.98302,0.81418,0.81266,0.38557,1.05483,0.0006535,0.0006535,0.0006535
23,1146.18,0.76471,0.4757,1.01076,0.96852,0.96156,0.98666,0.81095,0.79475,0.37654,1.04443,0.000637,0.000637,0.000637
24,1193.04,0.77276,0.47697,1.01944,0.96881,0.97592,0.98808,0.81898,0.79889,0.36501,1.05229,0.0006205,0.0006205,0.0006205
25,1240.17,0.75417,0.45539,1.00681,0.95835,0.96406,0.982,0.80547,0.82026,0.38395,1.0537,0.000604,0.000604,0.000604
26,1287.38,0.75917,0.46273,1.01216,0.95652,0.98388,0.98615,0.81049,0.79355,0.3756,1.04115,0.0005875,0.0005875,0.0005875
27,1334.13,0.75157,0.44903,1.00367,0.95706,0.97996,0.9864,0.81011,0.80958,0.36859,1.05408,0.000571,0.000571,0.000571
28,1380.85,0.73758,0.44277,0.99837,0.96847,0.97187,0.98314,0.81874,0.78366,0.3676,1.04285,0.0005545,0.0005545,0.0005545
29,1426.59,0.73064,0.43701,0.9914,0.96706,0.96867,0.98214,0.81607,0.77844,0.36101,1.03322,0.000538,0.000538,0.000538
30,1471.47,0.73079,0.43461,0.98999,0.97268,0.97012,0.98482,0.81664,0.78152,0.35228,1.03856,0.0005215,0.0005215,0.0005215
31,1516.36,0.71836,0.43094,0.98808,0.96454,0.97876,0.9837,0.81389,0.78911,0.35,1.05536,0.000505,0.000505,0.000505
32,1561.45,0.72161,0.42595,0.98893,0.95294,0.98848,0.9848,0.8213,0.78225,0.33902,1.04276,0.0004885,0.0004885,0.0004885
33,1606.85,0.70016,0.4125,0.97896,0.95911,0.98037,0.98096,0.81825,0.77976,0.35747,1.04212,0.000472,0.000472,0.000472
34,1651.88,0.70197,0.41601,0.98153,0.9729,0.97538,0.98648,0.82345,0.78061,0.33627,1.04549,0.0004555,0.0004555,0.0004555
35,1697.41,0.69531,0.40701,0.97733,0.97098,0.97645,0.98578,0.8182,0.79153,0.34229,1.05659,0.000439,0.000439,0.000439
36,1743.03,0.68554,0.4008,0.97252,0.97035,0.96403,0.9841,0.81827,0.79003,0.35612,1.05564,0.0004225,0.0004225,0.0004225
37,1788.07,0.68244,0.39839,0.97017,0.9507,0.98324,0.98461,0.82425,0.79054,0.34296,1.05627,0.000406,0.000406,0.000406
38,1833.42,0.68321,0.40092,0.97257,0.96996,0.97751,0.98529,0.82607,0.78246,0.34026,1.04499,0.0003895,0.0003895,0.0003895
39,1878.91,0.67338,0.38965,0.96559,0.96431,0.97932,0.98596,0.82814,0.78044,0.34352,1.04822,0.000373,0.000373,0.000373
40,1924.29,0.66336,0.39481,0.96293,0.96854,0.97955,0.98592,0.82477,0.78893,0.33234,1.0559,0.0003565,0.0003565,0.0003565
41,1969.19,0.66266,0.38493,0.96328,0.97187,0.97127,0.98799,0.82989,0.76842,0.32513,1.03746,0.00034,0.00034,0.00034
42,2014.53,0.64981,0.37901,0.96054,0.95577,0.9868,0.98667,0.82902,0.78052,0.3369,1.05023,0.0003235,0.0003235,0.0003235
43,2059.59,0.64648,0.37773,0.9553,0.9658,0.98168,0.98541,0.82763,0.77876,0.33199,1.05404,0.000307,0.000307,0.000307
44,2105,0.64674,0.36874,0.95581,0.96212,0.98212,0.98539,0.83273,0.77947,0.3397,1.05241,0.0002905,0.0002905,0.0002905
45,2150.68,0.63514,0.36552,0.94813,0.96992,0.97904,0.98321,0.82682,0.7765,0.33365,1.04422,0.000274,0.000274,0.000274
46,2195.73,0.6178,0.35905,0.93802,0.96983,0.97334,0.98618,0.83213,0.76656,0.33049,1.04193,0.0002575,0.0002575,0.0002575
47,2240.56,0.61929,0.35489,0.94289,0.95692,0.98366,0.98327,0.83087,0.77947,0.33011,1.05457,0.000241,0.000241,0.000241
48,2285.45,0.61548,0.34808,0.93831,0.96971,0.96992,0.98164,0.82699,0.77085,0.33359,1.05074,0.0002245,0.0002245,0.0002245
49,2330.36,0.61624,0.34916,0.94059,0.9576,0.97066,0.97868,0.82433,0.76244,0.33429,1.04743,0.000208,0.000208,0.000208
50,2375.54,0.60014,0.34357,0.93587,0.96696,0.97123,0.98078,0.82866,0.76616,0.33339,1.04794,0.0001915,0.0001915,0.0001915
51,2453.52,0.53277,0.26031,0.89318,0.96101,0.97768,0.98235,0.82654,0.77236,0.33744,1.05617,0.000175,0.000175,0.000175
52,2498.75,0.52634,0.25652,0.89049,0.95625,0.98206,0.98352,0.83419,0.76739,0.33535,1.05105,0.0001585,0.0001585,0.0001585
53,2544.17,0.51166,0.25502,0.88047,0.97879,0.96774,0.98486,0.83326,0.76639,0.32898,1.05519,0.000142,0.000142,0.000142
54,2588.95,0.5095,0.24914,0.88486,0.97573,0.96491,0.98457,0.83103,0.77186,0.32863,1.0594,0.0001255,0.0001255,0.0001255
55,2633.62,0.49828,0.24648,0.87902,0.97095,0.97475,0.9845,0.83297,0.77285,0.33041,1.06412,0.000109,0.000109,0.000109
56,2678.52,0.48946,0.24246,0.87436,0.97755,0.9679,0.98645,0.83459,0.7698,0.3261,1.06326,9.25e-05,9.25e-05,9.25e-05
57,2724.36,0.48336,0.23782,0.8671,0.957,0.98168,0.98433,0.8346,0.76736,0.32441,1.05916,7.6e-05,7.6e-05,7.6e-05
58,2769.41,0.47829,0.23717,0.86823,0.97725,0.96404,0.98597,0.83551,0.76985,0.31904,1.06226,5.95e-05,5.95e-05,5.95e-05
59,2814.49,0.47308,0.23155,0.86956,0.96894,0.97192,0.98659,0.83673,0.76616,0.32203,1.06524,4.3e-05,4.3e-05,4.3e-05
60,2859.53,0.46823,0.2308,0.86442,0.9773,0.96501,0.98581,0.83616,0.7656,0.32304,1.06384,2.65e-05,2.65e-05,2.65e-05
